ticketKey,ticketSummary,ticketAssignee,ticketCreated,ticketResolutionDate,ticketLabels,isDirect,commitSha,commitRepo,commitDate,commitAuthorName,commitSubject,codeSimilarity,rankByCodeSimilarity,msAuthorScore,msDateScore,msKeywordScore,msComposite,priorTier,finalScore,inPriorCandidates
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,1244ffe10f91d337277a9019d74c5df0de8e244f,Connexus-inc/connexus-web-client,2026-04-28T16:04:16+05:30,Ramesh P R,fix: sso fix - browser compatability issue,0.5926,1,0.0,0.0,0.0,0.0,,0.2963,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,dbb5ed42913fb81debfecea9f89dc79935fdd37e,Connexus-inc/connexus-web-client,2026-04-28T18:27:12+05:30,varunw92,Merge pull request #2021 from Connexus-inc/fix/cx-2525,0.4402,2,0.0,0.0,0.0,0.0,,0.2201,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,0bca12a53d71d4f89b6a49b7ce97f6fdd3bc5c90,Connexus-inc/connexus-web-client,2026-04-28T23:39:36+05:30,Varun Wilson,feat(authentication): add cross-tab session sync for login and logout,0.4161,3,0.0,0.0,0.0,0.0,,0.208,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,d21ee4064d51487d237d3e1555489c101e57d415,Connexus-inc/connexus-web-client,2026-04-11T02:02:13+05:30,Vysakh R J,fix: added more urls for google signin,0.3926,4,0.0,0.0,0.0,0.0,,0.1963,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,21ecb25737641485003a4434ecbc61895fd40b0e,Connexus-inc/connexus-web-client,2026-02-27T11:03:26+05:30,varunw92,Merge pull request #1779 from Connexus-inc/fix-google-signin-stage-issue,0.3909,5,0.0,0.0,0.0,0.0,,0.1954,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,edc9a9620e6f69206873f8832864ca4b7b667314,Connexus-inc/connexus-web-client,2026-02-25T22:41:55+05:30,Vysakh R J,feat: added loader for signup microsoft,0.3736,6,0.0,0.0,0.0,0.0,,0.1868,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,e3422237a428d0c8994c9cfd9dd4527f05e22f43,Connexus-inc/connexus-web-client,2026-03-19T15:25:17+05:30,rakhesh.j,fix(esign): open button loading issue fix in audit trail page,0.3694,7,0.0,0.0,0.0,0.0,,0.1847,
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,rameshpr,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.197+0530,,TRUE,d1800acf96f60d554c4a0ae41d944455439a8907,Connexus-inc/connexus-web-client,2026-04-11T01:38:17+05:30,Vysakh R J,fix: added more urls for google signin,0.3685,8,0.0,0.0,0.0,0.0,,0.1842,
CX-2734,System Breaks on Edit After Completing Pending Insurance Upload,Shini,2026-02-05T00:22:05.930+0530,2026-06-18T10:52:57.397+0530,PropertyInsurance,,8d099d3b0370f3fdf6852b8dec10ab1761331926,Connexus-inc/connexus-web-api,2026-01-19T12:59:01+05:30,Varun Wilson,fix: permission removed for property insurance module,0.6113,1,0.0,0.0,0.0,0.0,,0.3057,
CX-2734,System Breaks on Edit After Completing Pending Insurance Upload,Shini,2026-02-05T00:22:05.930+0530,2026-06-18T10:52:57.397+0530,PropertyInsurance,,4c1ad9e2edce3f152daad40391dfbe19465e3b9c,Connexus-inc/connexus-web-api,2026-01-19T12:59:01+05:30,Varun Wilson,fix: permission removed for property insurance module,0.6113,2,0.0,0.0,0.0,0.0,,0.3057,
