key,summary,issueType,status,priority,assignee,reporter,labels,resolution,storyPoints,created,updated,resolutionDate
CX-2525,Browser compatibility issue: SSO buttons remain in loading state when navigating back during authentication in Firefox,Bug,Done,Medium,rameshpr,Srilakshmi Sivan,,Done,8,2026-01-09T12:21:26.231+0530,2026-06-15T15:11:27.216+0530,2026-06-15T15:11:27.197+0530
CX-2734,System Breaks on Edit After Completing Pending Insurance Upload,Bug,Done,Medium,Shini,Shini,PropertyInsurance,Done,,2026-02-05T00:22:05.930+0530,2026-06-18T10:52:57.421+0530,2026-06-18T10:52:57.397+0530
CX-2983,Property Bulk CSV upload,Story,Done,Medium,Heather Moore,Nisha C N,,Done,8,2026-03-13T19:26:59.858+0530,2026-05-18T10:34:58.783+0530,2026-05-18T10:34:58.764+0530
CX-3146,Vendor Compliance workflow for Sole Proprietor company type,Story,Done,Medium,Varun Wilson,Nisha C N,,Done,8,2026-04-09T10:16:38.691+0530,2026-06-15T19:35:10.990+0530,2026-06-15T19:35:10.966+0530
CX-3159,Unable to Delete Contract Template from Client Account,Bug,Done,Medium,Vysakh R J,Shini,ESign,Done,,2026-04-11T00:58:32.785+0530,2026-05-18T11:28:53.368+0530,2026-05-18T11:28:53.345+0530
CX-3162,[TRELLO] Updated email Notification Templates & Removal of Global Footer - HOT FIX,Task,Done,Medium,Nisha C N,Shini,TrelloTickets,Done,13,2026-04-16T10:55:53.176+0530,2026-06-16T10:46:39.283+0530,2026-06-16T10:46:39.263+0530
CX-3163,[TRELLO] Uploaded contracts are being mapped to Inactive Service categories -HOT FIX,Bug,Done,Medium,Srilakshmi Sivan,Shini,ContractManagement; HotFix; TrelloTickets,Done,,2026-04-16T11:05:45.279+0530,2026-05-18T15:30:09.719+0530,2026-05-18T15:30:09.694+0530
CX-3167,Premium field in exported report should display “- / Nil” when no value is available,Task,Done,Medium,Varun Wilson,Shini,PropertyInsurance,Done,,2026-04-16T13:02:29.358+0530,2026-05-18T11:16:48.405+0530,2026-05-18T11:16:48.382+0530
CX-3169,Email Template change : Header and Footer change  in onboarding a client/connexus/vendor user,Story,Done,Medium,Rakhesh J,Nisha C N,,Done,13,2026-04-17T12:10:30.518+0530,2026-05-18T15:21:35.337+0530,2026-05-18T15:21:35.312+0530
CX-3181,"[TRELLO] Legacy ""Generate Contract"" flow appearing for ""In Contract"" RFPs",Task,Done,Medium,Varun Wilson,Shini,TrelloTickets,Done,,2026-04-20T12:51:09.604+0530,2026-05-18T11:26:00.446+0530,2026-05-18T11:26:00.424+0530
